rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,1.90319,0.02057,1.89276,0
8192,8192,35.71209,13.01389,0.05072,12.97410,0
8192,16384,25.95931,8.42673,0.06675,8.38234,0
8192,32768,20.86638,5.71980,0.01405,5.71467,0
8192,65536,16.17524,4.01537,0.01800,4.01419,0
8192,131072,12.99187,2.84905,0.02097,2.83652,0
8192,262144,9.89416,2.04524,0.01537,2.03600,0
16384,8192,34.61367,12.71837,0.05495,12.69597,0
16384,16384,24.46333,8.27823,0.03178,8.27305,0
16384,32768,18.97613,5.64679,0.02642,5.62883,0
16384,65536,14.86819,3.96819,0.02272,3.95332,0
16384,131072,12.07732,2.81695,0.01148,2.80846,0
16384,262144,9.07729,2.01844,0.01244,2.01347,0
32768,8192,37.41549,12.57939,0.11841,12.53061,0
32768,16384,22.37393,8.18820,0.03185,8.17602,0
32768,32768,17.75931,5.59710,0.01156,5.59595,0
32768,65536,14.01337,3.94179,0.01427,3.93353,0
32768,131072,11.49337,2.80411,0.01365,2.79697,0
32768,262144,8.73847,2.03944,0.02291,2.02403,0
65536,8192,36.28987,12.47479,0.06139,12.44511,0
65536,16384,26.04039,8.15620,0.02952,8.14447,0
65536,32768,16.97938,5.56329,0.03251,5.54532,0
65536,65536,13.48841,3.92127,0.02320,3.91206,0
65536,131072,11.29593,2.78662,0.01513,2.77408,0
65536,262144,8.71429,2.02477,0.01105,2.01964,0
131072,8192,38.77519,12.43319,0.07613,12.38631,0
131072,16384,20.70609,8.07987,0.02374,8.06255,0
131072,32768,16.37247,5.55852,0.03204,5.54822,0
131072,65536,13.31186,3.89936,0.02976,3.87522,0
131072,131072,11.15771,2.78834,0.02033,2.77520,0
131072,262144,8.76072,2.02028,0.01414,2.01146,0
262144,8192,37.18986,12.34557,0.06537,12.31468,0
262144,16384,25.66079,8.08569,0.04300,8.06607,0
262144,32768,16.01911,5.55602,0.04434,5.53491,0
262144,65536,13.11339,3.89913,0.02607,3.88537,0
262144,131072,11.33690,2.80990,0.03009,2.78205,0
262144,262144,8.73697,2.02318,0.01217,2.01479,0
rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,2.72592,0.04245,2.69792,0
8192,8192,59.03117,20.41001,0.01241,20.40222,0
8192,16384,40.36708,12.75678,0.01079,12.75584,0
8192,32768,31.47037,8.40021,0.01188,8.39323,0
8192,65536,23.03523,5.73490,0.00879,5.73086,0
8192,131072,17.04602,3.95650,0.01135,3.95164,0
8192,262144,11.75919,2.79167,0.00809,2.78767,0
16384,8192,50.17096,20.12660,0.01687,20.11375,0
16384,16384,39.68966,12.65347,0.00903,12.64907,0
16384,32768,29.19540,8.34861,0.01337,8.34327,0
16384,65536,20.93414,5.72727,0.01665,5.72810,0
16384,131072,15.37508,3.90960,0.01233,3.90396,0
16384,262144,10.31659,2.74614,0.00639,2.74245,0
32768,8192,54.10682,19.98299,0.01543,19.97334,0
32768,16384,33.38146,12.53298,0.01318,12.52853,0
32768,32768,26.13419,8.30154,0.00916,8.29722,0
32768,65536,18.91331,5.70558,0.01197,5.69962,0
32768,131072,14.05778,3.98182,0.00975,3.97661,0
32768,262144,9.60559,2.68835,0.01263,2.68491,0
65536,8192,51.30428,19.88589,0.01673,19.87644,0
65536,16384,38.84121,12.50819,0.01258,12.50057,0
65536,32768,24.25087,8.28240,0.00999,8.28059,0
65536,65536,17.45458,5.64279,0.01857,5.64266,0
65536,131072,13.34165,3.98635,0.00876,3.98466,0
65536,262144,9.22733,2.81264,0.00587,2.80985,0
131072,8192,53.63265,19.84844,0.02155,19.83420,0
131072,16384,29.56690,12.46363,0.00746,12.45759,0
131072,32768,22.72764,8.26774,0.01381,8.26060,0
131072,65536,16.91549,5.65741,0.01362,5.64808,0
131072,131072,12.72953,3.96519,0.01449,3.96105,0
131072,262144,9.43067,2.82285,0.01665,2.81854,0
262144,8192,51.26426,19.85905,0.01193,19.85291,0
262144,16384,37.81862,12.45188,0.02269,12.44022,0
262144,32768,21.77730,8.25636,0.01213,8.25374,0
262144,65536,16.40429,5.64669,0.01248,5.64145,0
262144,131072,12.96679,3.99626,0.02037,3.98956,0
262144,262144,9.35706,2.82282,0.00901,2.81722,0
