rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.07467,0.01029,0.06901,0
8192,8192,0.46874,0.13156,0.00899,0.12648,0
8192,16384,0.32524,0.07708,0.01042,0.07052,0
16384,8192,0.46895,0.12947,0.00747,0.12445,0
16384,16384,0.32805,0.07649,0.00984,0.07070,0
rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.13141,0.01203,0.12507,0
8192,8192,0.53629,0.21595,0.00577,0.21329,0
8192,16384,0.33713,0.15114,0.00308,0.14893,0
16384,8192,0.52466,0.20644,0.00585,0.20228,0
16384,16384,0.33758,0.15154,0.00297,0.14961,0
