rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,1.26264,0.01586,1.25273,0
8192,8192,15.47587,7.08981,1.27276,5.87070,0
8192,16384,11.45891,3.91017,0.00680,3.90597,0
8192,32768,8.25531,2.73847,0.00563,2.73525,0
8192,65536,5.98435,1.93870,0.00319,1.93684,0
8192,131072,3.48627,1.32334,0.00461,1.32076,0
16384,8192,13.48833,5.77018,0.00646,5.76892,0
16384,16384,10.37681,3.88114,0.01330,3.87588,0
16384,32768,7.48632,2.73439,0.00843,2.72972,0
16384,65536,5.37105,1.92934,0.00373,1.92818,0
16384,131072,3.18931,1.31178,0.00234,1.31071,0
32768,8192,12.56884,5.73841,0.00837,5.74082,0
32768,16384,9.62962,3.85362,0.00685,3.85040,0
32768,32768,6.89281,2.71796,0.00714,2.71374,0
32768,65536,5.04499,1.91999,0.00970,1.91424,0
32768,131072,2.94254,1.31125,0.00272,1.31017,0
65536,8192,11.93690,5.71863,0.00749,5.71610,0
65536,16384,8.96208,3.85127,0.00691,3.84654,0
65536,32768,6.58303,2.70678,0.00585,2.70317,0
65536,65536,4.86051,1.91842,0.00220,1.91707,0
65536,131072,2.97846,1.30887,0.00265,1.30757,0
131072,8192,11.53241,5.70400,0.00256,5.70276,0
131072,16384,8.67795,3.83785,0.01152,3.82988,0
131072,32768,6.47770,2.70877,0.00580,2.70666,0
131072,65536,4.71657,1.91514,0.00403,1.91404,0
131072,131072,3.14971,1.30745,0.00590,1.30568,0
