filename,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k16_0.899_0.537_0.537_0.561_c862-r4_c4.tns,113.02,0.065416,18.6793,0.0133103,18.6713
k16_0.899_0.537_0.537_0.561_c862-r4_c8.tns,111.741,0.065334,18.7753,0.0164147,18.7676
k16_0.899_0.537_0.537_0.561_c862-r4_c16.tns,112.246,0.064886,19.6311,0.0243045,19.619
k16_0.899_0.537_0.537_0.561_c862-r4_c32.tns,113.241,0.067836,20.2818,0.0217769,20.2717
k16_0.899_0.537_0.537_0.561_c862-r4_c64.tns,117.624,0.098598,21.4366,0.0787065,21.3946
k16_0.899_0.537_0.537_0.561_c862-r4_c128.tns,113.187,0.064034,23.2225,0.01884,23.2183
k16_0.899_0.537_0.537_0.561_c862-r4_c256.tns,112.713,0.07236,25.5544,0.0466984,25.5343
k16_0.899_0.537_0.537_0.561_c862-r4_c512.tns,B size: (16384 x 128 x 4 x 512), 63610092 bytes
k16_0.899_0.537_0.537_0.561_c862-r4_c1024.tns,B size: (16384 x 64 x 4 x 1024), 56678964 bytes
k16_0.899_0.537_0.537_0.561_c862-r4_c2048.tns,B size: (16384 x 32 x 4 x 2048), 49793436 bytes
k16_0.899_0.537_0.537_0.561_c862-r8_c4.tns,111.439,0.064033,18.4619,0.0190736,18.4512
k16_0.899_0.537_0.537_0.561_c862-r8_c8.tns,110.195,0.058609,18.9695,0.0137469,18.9609
k16_0.899_0.537_0.537_0.561_c862-r8_c16.tns,112.661,0.066406,20.0743,0.107782,20.0201
k16_0.899_0.537_0.537_0.561_c862-r8_c32.tns,112.464,0.062185,21.4301,0.0306225,21.4077
k16_0.899_0.537_0.537_0.561_c862-r8_c64.tns,110.845,0.059727,23.1802,0.0728932,23.1394
k16_0.899_0.537_0.537_0.561_c862-r8_c128.tns,112.578,0.062574,25.4217,0.062202,25.3781
k16_0.899_0.537_0.537_0.561_c862-r8_c256.tns,110.521,0.066813,26.3533,0.09936,26.2786
k16_0.899_0.537_0.537_0.561_c862-r8_c512.tns,B size: (8192 x 128 x 8 x 512), 59698900 bytes
k16_0.899_0.537_0.537_0.561_c862-r8_c1024.tns,B size: (8192 x 64 x 8 x 1024), 53564300 bytes
k16_0.899_0.537_0.537_0.561_c862-r8_c2048.tns,B size: (8192 x 32 x 8 x 2048), 47801060 bytes
k16_0.899_0.537_0.537_0.561_c862-r16_c4.tns,112.988,0.065234,18.7212,0.0219023,18.7095
