filename,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k19_0.899_0.437_0.437_0.484_c862.mtx,90.5514,0.055223,15.1189,0.144269,15.0074
k19_0.899_0.438_0.437_0.484_c862.mtx,90.3239,0.086621,18.9453,0.384256,18.6904
k19_0.899_0.439_0.437_0.484_c862.mtx,90.0179,0.057509,15.6693,0.105224,15.6545
k19_0.899_0.440_0.437_0.484_c862.mtx,90.7681,0.058195,15.8632,0.133587,15.7801
k19_0.899_0.441_0.437_0.484_c862.mtx,89.5594,0.053313,15.9252,0.0986298,15.8484
k19_0.899_0.442_0.437_0.484_c862.mtx,90.0962,0.060227,16.157,0.155055,16.0489
k19_0.899_0.443_0.437_0.484_c862.mtx,89.8645,0.05701,16.3212,0.0685715,16.2804
k19_0.899_0.444_0.437_0.484_c862.mtx,90.4682,0.055609,16.3684,0.0572981,16.3373
k19_0.899_0.445_0.437_0.484_c862.mtx,90.0449,0.056943,16.4739,0.144621,16.3931
k19_0.899_0.446_0.437_0.484_c862.mtx,90.9175,0.061443,16.6071,0.0917848,16.5643
k19_0.899_0.447_0.437_0.484_c862.mtx,90.3003,0.054968,16.7392,0.0570424,16.7102
k19_0.899_0.448_0.437_0.484_c862.mtx,90.1091,0.056293,16.9746,0.145391,16.8875
k19_0.899_0.449_0.437_0.484_c862.mtx,90.3827,0.057574,17.0776,0.0548542,17.0683
k19_0.899_0.450_0.437_0.484_c862.mtx,91.2096,0.065065,17.111,0.091484,17.0604
k19_0.899_0.451_0.437_0.484_c862.mtx,89.8097,0.056449,16.9824,0.0853003,16.9427
k19_0.899_0.452_0.437_0.484_c862.mtx,91.1748,0.068847,17.364,0.571229,17.0134
k19_0.899_0.453_0.437_0.484_c862.mtx,90.2138,0.054525,17.7094,0.0498138,17.6836
k19_0.899_0.454_0.437_0.484_c862.mtx,90.7029,0.063822,17.8331,0.0484966,17.8169
k19_0.899_0.455_0.437_0.484_c862.mtx,91.7138,0.068871,17.9917,0.0875066,17.9573
k19_0.899_0.456_0.437_0.484_c862.mtx,89.8979,0.058034,18.1162,0.0516524,18.0946
k19_0.899_0.457_0.437_0.484_c862.mtx,90.3725,0.059164,18.2358,0.103299,18.1809
k19_0.899_0.458_0.437_0.484_c862.mtx,89.9241,0.056984,18.5044,0.0825284,18.461
k19_0.899_0.459_0.437_0.484_c862.mtx,90.7862,0.055889,18.4635,0.0849963,18.4233
k19_0.899_0.460_0.437_0.484_c862.mtx,90.1464,0.057906,18.6532,0.0535901,18.6282
k19_0.899_0.461_0.437_0.484_c862.mtx,91.6195,0.082541,23.5328,0.283247,23.3556
k19_0.899_0.462_0.437_0.484_c862.mtx,90.882,0.063247,18.8189,0.156413,18.8117
k19_0.899_0.463_0.437_0.484_c862.mtx,90.6545,0.062036,19.238,0.0630301,19.2063
k19_0.899_0.464_0.437_0.484_c862.mtx,89.4131,0.054622,19.155,0.206584,19.1503
k19_0.899_0.465_0.437_0.484_c862.mtx,89.2747,0.054047,18.4127,0.22005,18.2983
k19_0.899_0.466_0.437_0.484_c862.mtx,89.9289,0.053586,19.0891,0.184665,19.0025
k19_0.899_0.467_0.437_0.484_c862.mtx,89.7258,0.051043,19.7636,0.0788425,19.7375
k19_0.899_0.468_0.437_0.484_c862.mtx,89.8148,0.089039,24.7976,0.172627,24.7224
k19_0.899_0.469_0.437_0.484_c862.mtx,90.5393,0.06105,19.9038,0.127754,19.8605
k19_0.899_0.470_0.437_0.484_c862.mtx,89.936,0.0553,19.6097,0.28594,19.4603
k19_0.899_0.471_0.437_0.484_c862.mtx,90.3364,0.055287,20.1024,0.0965307,20.0761
k19_0.899_0.472_0.437_0.484_c862.mtx,91.697,0.059753,20.7411,0.137094,20.6999
k19_0.899_0.473_0.437_0.484_c862.mtx,90.6322,0.064326,20.1682,0.281028,20.0475
k19_0.899_0.474_0.437_0.484_c862.mtx,90.3721,0.054093,20.7494,0.13109,20.7541
k19_0.899_0.475_0.437_0.484_c862.mtx,90.18,0.053851,20.4053,0.231553,20.2861
k19_0.899_0.476_0.437_0.484_c862.mtx,90.6725,0.058007,20.415,0.174848,20.3054
k19_0.899_0.477_0.437_0.484_c862.mtx,90.112,0.053453,20.7892,0.199184,20.684
k19_0.899_0.478_0.437_0.484_c862.mtx,90.0776,0.055833,20.5836,0.161227,20.5116
k19_0.899_0.479_0.437_0.484_c862.mtx,90.7664,0.05977,21.1303,0.183424,21.0315
k19_0.899_0.480_0.437_0.484_c862.mtx,90.661,0.056541,20.7234,0.370845,20.4683
k19_0.899_0.481_0.437_0.484_c862.mtx,90.1386,0.054327,21.4882,0.206484,21.3626
k19_0.899_0.482_0.437_0.484_c862.mtx,90.3916,0.055463,22.3333,0.173928,22.2582
k19_0.899_0.483_0.437_0.484_c862.mtx,90.2027,0.054985,21.8577,0.172632,21.7597
k19_0.899_0.484_0.437_0.484_c862.mtx,90.1788,0.060319,22.666,0.446731,22.424
k19_0.899_0.485_0.437_0.484_c862.mtx,91.0134,0.056031,22.3014,0.144654,22.2399
