filename,rows_per_block,cols_per_block,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k16_0.899_0.537_0.526_0.484_c862.mtx,2,2,109.788,0.057345,23729.9,7.93104,23727.7
k16_0.899_0.537_0.526_0.484_c862.mtx,2,4,106.22,0.057863,11994.2,6.05712,11990.1
k16_0.899_0.537_0.526_0.484_c862.mtx,2,8,106.293,0.057456,6101.36,2.03501,6100.12
k16_0.899_0.537_0.526_0.484_c862.mtx,2,16,106.077,0.058219,3168.38,0.799855,3168.02
k16_0.899_0.537_0.526_0.484_c862.mtx,2,32,107.395,0.065546,1677.09,2.38892,1675.82
k16_0.899_0.537_0.526_0.484_c862.mtx,2,64,106.514,0.061737,936.358,0.294264,936.163
k16_0.899_0.537_0.526_0.484_c862.mtx,2,128,107.481,0.064526,551.845,0.0830594,551.835
k16_0.899_0.537_0.526_0.484_c862.mtx,2,256,107.29,0.067244,345.704,0.138458,345.704
k16_0.899_0.537_0.526_0.484_c862.mtx,2,512,107.35,0.064525,222.927,0.0810159,222.888
k16_0.899_0.537_0.526_0.484_c862.mtx,2,1024,107.376,0.066017,143.168,0.121637,143.088
k16_0.899_0.537_0.526_0.484_c862.mtx,2,2048,107.476,0.067477,86.6552,0.185938,86.5538
k16_0.899_0.537_0.526_0.484_c862.mtx,2,4096,109.39,0.058023,48.8861,0.102707,48.8287
k16_0.899_0.537_0.526_0.484_c862.mtx,2,8192,107.225,0.065407,25.7385,0.0541036,25.7119
k16_0.899_0.537_0.526_0.484_c862.mtx,2,16384,107.98,0.063163,12.762,0.0665796,12.7291
k16_0.899_0.537_0.526_0.484_c862.mtx,2,32768,107.226,0.064366,6.22447,0.0727717,6.18528
k16_0.899_0.537_0.526_0.484_c862.mtx,2,65536,107.084,0.064507,3.30562,0.0810808,3.26296
k16_0.899_0.537_0.526_0.484_c862.mtx,4,2,104.775,0.057406,23857.3,15.8348,23852.1
k16_0.899_0.537_0.526_0.484_c862.mtx,4,4,105.983,0.065516,12136.3,24.9117,12138.5
k16_0.899_0.537_0.526_0.484_c862.mtx,4,8,105.892,0.065212,6160.54,3.81269,6159.96
k16_0.899_0.537_0.526_0.484_c862.mtx,4,16,104.912,0.058072,3195.07,2.20645,3194.1
k16_0.899_0.537_0.526_0.484_c862.mtx,4,32,106.016,0.06312,1704.42,1.10949,1704.37
k16_0.899_0.537_0.526_0.484_c862.mtx,4,64,105.856,0.065364,953.243,1.09525,953.066
k16_0.899_0.537_0.526_0.484_c862.mtx,4,128,104.406,0.057986,563.59,0.697085,563.773
k16_0.899_0.537_0.526_0.484_c862.mtx,4,256,106.024,0.063339,360.713,0.0761362,360.682
k16_0.899_0.537_0.526_0.484_c862.mtx,4,512,104.435,0.056738,232.42,0.0685905,232.409
k16_0.899_0.537_0.526_0.484_c862.mtx,4,1024,106.901,0.064849,147.648,0.049439,147.618
k16_0.899_0.537_0.526_0.484_c862.mtx,4,2048,104.264,0.057994,88.2324,0.0936109,88.1783
k16_0.899_0.537_0.526_0.484_c862.mtx,4,4096,105.784,0.064949,48.8682,0.103459,48.8234
k16_0.899_0.537_0.526_0.484_c862.mtx,4,8192,105.67,0.061215,25.4562,0.0905636,25.409
k16_0.899_0.537_0.526_0.484_c862.mtx,4,16384,105.795,0.067299,12.6512,0.0712819,12.6115
k16_0.899_0.537_0.526_0.484_c862.mtx,4,32768,104.478,0.057032,6.21588,0.0636791,6.18352
k16_0.899_0.537_0.526_0.484_c862.mtx,4,65536,105.796,0.063914,3.35529,0.0750566,3.31883
k16_0.899_0.537_0.526_0.484_c862.mtx,8,2,105.833,0.063058,24970.9,7.46843,24966.4
k16_0.899_0.537_0.526_0.484_c862.mtx,8,4,104.699,0.059885,12627,5.66621,12625.8
k16_0.899_0.537_0.526_0.484_c862.mtx,8,8,105.719,0.062085,6409.38,23.729,6390.95
k16_0.899_0.537_0.526_0.484_c862.mtx,8,16,106.065,0.066311,3321.32,2.212,3320.53
k16_0.899_0.537_0.526_0.484_c862.mtx,8,32,104.745,0.058841,1769.85,1.50463,1769.04
k16_0.899_0.537_0.526_0.484_c862.mtx,8,64,105.816,0.063335,986.11,0.321957,986.015
