filename,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k16_0.899_0.537_0.526_0.484_c862.mtx,83.1816,0.0512,2.20398,0.108822,2.13947
k16_0.899_0.537_0.527_0.484_c862.mtx,82.9542,0.051884,2.26009,0.139391,2.15298
k16_0.899_0.537_0.528_0.484_c862.mtx,82.5159,0.050267,2.25444,0.116406,2.16404
k16_0.899_0.537_0.529_0.484_c862.mtx,82.8778,0.051269,2.28263,0.109064,2.19324
k16_0.899_0.537_0.530_0.484_c862.mtx,82.8191,0.054094,2.28077,0.130172,2.19064
k16_0.899_0.537_0.531_0.484_c862.mtx,83.5868,0.050902,2.26017,0.108046,2.19864
k16_0.899_0.537_0.532_0.484_c862.mtx,83.0489,0.050766,2.29349,0.12758,2.21985
k16_0.899_0.537_0.533_0.484_c862.mtx,82.4259,0.049701,2.2781,0.101141,2.22128
k16_0.899_0.537_0.534_0.484_c862.mtx,82.7443,0.050569,2.31121,0.11473,2.24586
k16_0.899_0.537_0.535_0.484_c862.mtx,83.2223,0.05192,2.33265,0.129762,2.25825
k16_0.899_0.537_0.536_0.484_c862.mtx,82.3528,0.053236,2.32816,0.117724,2.2531
k16_0.899_0.537_0.537_0.484_c862.mtx,82.4326,0.048811,2.34155,0.139486,2.2658
k16_0.899_0.537_0.537_0.485_c862.mtx,83.1801,0.050016,2.36999,0.137151,2.29146
k16_0.899_0.537_0.537_0.486_c862.mtx,82.6525,0.05343,2.38122,0.131381,2.30532
k16_0.899_0.537_0.537_0.487_c862.mtx,82.2396,0.049403,2.38702,0.146592,2.29954
k16_0.899_0.537_0.537_0.488_c862.mtx,82.4771,0.050753,2.44556,0.187835,2.31315
k16_0.899_0.537_0.537_0.489_c862.mtx,82.3503,0.048882,2.39741,0.11907,2.32629
k16_0.899_0.537_0.537_0.490_c862.mtx,82.3277,0.047917,2.40212,0.120969,2.33051
k16_0.899_0.537_0.537_0.491_c862.mtx,82.5979,0.049337,2.424,0.131976,2.34713
k16_0.899_0.537_0.537_0.492_c862.mtx,83.2178,0.050931,2.52225,0.161108,2.40092
k16_0.899_0.537_0.537_0.493_c862.mtx,82.4056,0.048944,2.44486,0.124817,2.37169
k16_0.899_0.537_0.537_0.494_c862.mtx,82.4478,0.049488,2.45654,0.115755,2.39001
k16_0.899_0.537_0.537_0.495_c862.mtx,85.5357,0.057002,2.49249,0.139467,2.41339
k16_0.899_0.537_0.537_0.496_c862.mtx,85.1899,0.059376,2.50787,0.12966,2.43634
k16_0.899_0.537_0.537_0.497_c862.mtx,84.8949,0.063126,2.52251,0.142611,2.44192
k16_0.899_0.537_0.537_0.498_c862.mtx,85.0761,0.059974,2.55911,0.143348,2.48255
k16_0.899_0.537_0.537_0.499_c862.mtx,82.4916,0.049947,2.54086,0.125411,2.45694
k16_0.899_0.537_0.537_0.500_c862.mtx,82.4302,0.048993,2.54822,0.127309,2.46967
k16_0.899_0.537_0.537_0.501_c862.mtx,82.9418,0.05197,2.57728,0.135932,2.49756
k16_0.899_0.537_0.537_0.502_c862.mtx,84.3739,0.053857,2.6694,0.244083,2.51473
k16_0.899_0.537_0.537_0.503_c862.mtx,84.0052,0.049902,2.64324,0.163364,2.54536
k16_0.899_0.537_0.537_0.504_c862.mtx,82.5757,0.04965,2.60297,0.135003,2.52003
k16_0.899_0.537_0.537_0.505_c862.mtx,83.0625,0.052627,2.63879,0.152817,2.54342
k16_0.899_0.537_0.537_0.506_c862.mtx,82.9125,0.05483,2.65086,0.147703,2.56326
k16_0.899_0.537_0.537_0.507_c862.mtx,83.1218,0.051723,2.66974,0.164272,2.57079
k16_0.899_0.537_0.537_0.508_c862.mtx,82.4606,0.050007,2.66226,0.135481,2.57895
k16_0.899_0.537_0.537_0.509_c862.mtx,82.4893,0.049008,2.68679,0.127718,2.60992
k16_0.899_0.537_0.537_0.510_c862.mtx,82.6333,0.049946,2.72123,0.136377,2.629
k16_0.899_0.537_0.537_0.511_c862.mtx,83.53,0.052217,2.72853,0.139405,2.64796
k16_0.899_0.537_0.537_0.512_c862.mtx,82.9257,0.049528,2.72599,0.136842,2.64595
k16_0.899_0.537_0.537_0.513_c862.mtx,82.6867,0.049145,2.74442,0.149361,2.65305
k16_0.899_0.537_0.537_0.514_c862.mtx,82.8695,0.051596,2.75592,0.143816,2.66803
k16_0.899_0.537_0.537_0.515_c862.mtx,83.0889,0.050805,2.79923,0.169774,2.7042
k16_0.899_0.537_0.537_0.516_c862.mtx,83.5558,0.052549,2.82768,0.160914,2.71088
k16_0.899_0.537_0.537_0.517_c862.mtx,82.9022,0.049989,2.80484,0.154163,2.71261
k16_0.899_0.537_0.537_0.518_c862.mtx,82.8059,0.048336,2.82713,0.162968,2.73203
k16_0.899_0.537_0.537_0.519_c862.mtx,85.0372,0.051875,2.84805,0.158991,2.75437
k16_0.899_0.537_0.537_0.520_c862.mtx,85.2485,0.056447,2.8861,0.150444,2.79991
k16_0.899_0.537_0.537_0.521_c862.mtx,84.9958,0.055231,2.90265,0.164155,2.80078
k16_0.899_0.537_0.537_0.522_c862.mtx,82.9816,0.051276,2.89393,0.163837,2.79453
k16_0.899_0.537_0.537_0.523_c862.mtx,83.0428,0.049959,2.92411,0.168099,2.82557
k16_0.899_0.537_0.537_0.524_c862.mtx,83.4685,0.051618,2.94625,0.138796,2.86398
k16_0.899_0.537_0.537_0.525_c862.mtx,83.3631,0.050013,2.94772,0.158562,2.85192
k16_0.899_0.537_0.537_0.526_c862.mtx,83.1145,0.050923,2.95619,0.169891,2.85283
k16_0.899_0.537_0.537_0.527_c862.mtx,83.2851,0.049918,3.02254,0.19999,2.90011
k16_0.899_0.537_0.537_0.528_c862.mtx,82.9748,0.049732,3.00048,0.168529,2.89762
k16_0.899_0.537_0.537_0.529_c862.mtx,82.9938,0.049634,3.00625,0.170054,2.90407
k16_0.899_0.537_0.537_0.530_c862.mtx,83.0932,0.048948,3.04241,0.194613,2.92574
k16_0.899_0.537_0.537_0.531_c862.mtx,83.3596,0.050301,3.05641,0.15859,2.95819
k16_0.899_0.537_0.537_0.532_c862.mtx,83.775,0.049256,3.12192,0.172315,2.98415
k16_0.899_0.537_0.537_0.533_c862.mtx,84.8544,0.056661,3.077,0.157735,2.98538
k16_0.899_0.537_0.537_0.534_c862.mtx,83.3354,0.051081,3.14162,0.161235,3.04306
k16_0.899_0.537_0.537_0.535_c862.mtx,83.3704,0.052252,3.13684,0.17093,3.03135
k16_0.899_0.537_0.537_0.536_c862.mtx,83.2841,0.051761,3.17087,0.166204,3.04538
k16_0.899_0.537_0.537_0.537_c862.mtx,83.2363,0.050379,3.16537,0.180448,3.05372
k16_0.899_0.537_0.537_0.538_c862.mtx,83.9961,0.049658,3.18029,0.187962,3.0622
k16_0.899_0.537_0.537_0.539_c862.mtx,83.1201,0.050052,3.20646,0.206445,3.07665
k16_0.899_0.537_0.537_0.540_c862.mtx,83.3549,0.04961,3.22166,0.197059,3.09871
k16_0.899_0.537_0.537_0.541_c862.mtx,83.2077,0.05239,3.25748,0.175202,3.14839
k16_0.899_0.537_0.537_0.542_c862.mtx,85.2407,0.051314,3.3312,0.157952,3.23099
k16_0.899_0.537_0.537_0.543_c862.mtx,83.5729,0.049434,3.27419,0.189431,3.15439
k16_0.899_0.537_0.537_0.544_c862.mtx,82.9431,0.049749,3.34021,0.166647,3.23223
k16_0.899_0.537_0.537_0.545_c862.mtx,83.2077,0.047727,3.35821,0.207259,3.2312
k16_0.899_0.537_0.537_0.546_c862.mtx,83.4373,0.049668,3.33964,0.200802,3.21639
k16_0.899_0.537_0.537_0.547_c862.mtx,82.9691,0.051097,3.37785,0.193125,3.25595
k16_0.899_0.537_0.537_0.548_c862.mtx,83.0974,0.050069,3.3777,0.202875,3.25156
k16_0.899_0.537_0.537_0.549_c862.mtx,83.2387,0.050821,3.4175,0.1923,3.27323
k16_0.899_0.537_0.537_0.550_c862.mtx,83.035,0.048646,3.4225,0.202843,3.29424
k16_0.899_0.537_0.537_0.551_c862.mtx,83.2878,0.049568,3.44288,0.203428,3.31251
k16_0.899_0.537_0.537_0.552_c862.mtx,83.2043,0.050976,3.4743,0.186432,3.34121
k16_0.899_0.537_0.537_0.553_c862.mtx,83.253,0.055824,3.56739,0.275557,3.37662
k16_0.899_0.537_0.537_0.554_c862.mtx,83.1621,0.04961,3.56346,0.18545,3.44531
k16_0.899_0.537_0.537_0.555_c862.mtx,83.0641,0.052303,3.53812,0.200075,3.41359
k16_0.899_0.537_0.537_0.556_c862.mtx,83.2912,0.049845,3.5445,0.2011,3.41685
k16_0.899_0.537_0.537_0.557_c862.mtx,83.342,0.049199,3.57921,0.212724,3.44315
