filename,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k21_0.899_0.437_0.437_0.484_c862.mtx,104.89,0.063782,99.3069,0.0770268,99.2524
k21_0.899_0.438_0.437_0.484_c862.mtx,102.585,0.06442,97.2585,0.15733,97.1887
k21_0.899_0.439_0.437_0.484_c862.mtx,101.656,0.060982,101.517,0.101433,101.445
k21_0.899_0.440_0.437_0.484_c862.mtx,101.723,0.066628,101.034,0.132397,100.962
k21_0.899_0.441_0.437_0.484_c862.mtx,104.448,0.078705,101.622,0.0890043,101.588
k21_0.899_0.442_0.437_0.484_c862.mtx,101.069,0.059435,104.153,0.126099,104.099
k21_0.899_0.443_0.437_0.484_c862.mtx,103.283,0.066372,105.536,0.620827,105.08
k21_0.899_0.444_0.437_0.484_c862.mtx,101.394,0.053713,104.189,0.102187,104.147
k21_0.899_0.445_0.437_0.484_c862.mtx,103.405,0.092085,128.999,0.264697,128.836
k21_0.899_0.446_0.437_0.484_c862.mtx,101.553,0.066073,108.977,0.146891,108.919
k21_0.899_0.447_0.437_0.484_c862.mtx,103.078,0.073949,107.579,0.0889051,107.536
k21_0.899_0.448_0.437_0.484_c862.mtx,101.803,0.061348,109.676,0.0940018,109.615
k21_0.899_0.449_0.437_0.484_c862.mtx,101.664,0.061311,111.631,0.059692,111.594
k21_0.899_0.450_0.437_0.484_c862.mtx,102.294,0.066315,112.065,0.184717,111.937
k21_0.899_0.451_0.437_0.484_c862.mtx,102.431,0.067679,112.823,0.0829064,112.804
k21_0.899_0.452_0.437_0.484_c862.mtx,102.508,0.069399,114.098,0.0750256,114.054
k21_0.899_0.453_0.437_0.484_c862.mtx,103.704,0.065569,115.461,0.147107,115.447
k21_0.899_0.454_0.437_0.484_c862.mtx,102.792,0.068082,117.614,0.0511643,117.609
k21_0.899_0.455_0.437_0.484_c862.mtx,102.583,0.069832,117.415,0.297845,117.282
k21_0.899_0.456_0.437_0.484_c862.mtx,102.585,0.062549,118.606,0.110351,118.555
k21_0.899_0.457_0.437_0.484_c862.mtx,103.068,0.064715,119.804,0.262647,119.611
k21_0.899_0.458_0.437_0.484_c862.mtx,103.145,0.067513,118.29,0.0916146,118.238
k21_0.899_0.459_0.437_0.484_c862.mtx,103.043,0.069964,122.459,0.25737,122.285
k21_0.899_0.460_0.437_0.484_c862.mtx,103.279,0.068498,123.369,0.074677,123.335
k21_0.899_0.461_0.437_0.484_c862.mtx,103.469,0.064492,124.559,0.0814564,124.524
k21_0.899_0.462_0.437_0.484_c862.mtx,104.592,0.075091,124.996,0.132216,124.95
k21_0.899_0.463_0.437_0.484_c862.mtx,104.733,0.072671,127.084,0.0759896,127.051
k21_0.899_0.464_0.437_0.484_c862.mtx,103.568,0.069429,128.226,0.272866,128.079
k21_0.899_0.465_0.437_0.484_c862.mtx,105.59,0.067329,128.475,0.210594,128.35
k21_0.899_0.466_0.437_0.484_c862.mtx,103.742,0.062124,130.152,0.171151,130.064
k21_0.899_0.467_0.437_0.484_c862.mtx,103.96,0.058749,128.659,0.198109,128.543
k21_0.899_0.468_0.437_0.484_c862.mtx,105.462,0.068625,132.246,0.23238,132.11
k21_0.899_0.469_0.437_0.484_c862.mtx,104.284,0.062529,134.692,0.0839371,134.656
k21_0.899_0.470_0.437_0.484_c862.mtx,105.625,0.072211,134.765,0.0511061,134.759
k21_0.899_0.471_0.437_0.484_c862.mtx,106.114,0.064343,135.626,0.110465,135.594
k21_0.899_0.472_0.437_0.484_c862.mtx,105.538,0.069396,137.918,0.056023,137.905
k21_0.899_0.473_0.437_0.484_c862.mtx,104.96,0.065013,135.576,0.268898,135.391
k21_0.899_0.474_0.437_0.484_c862.mtx,105.028,0.062167,140.527,0.110656,140.461
k21_0.899_0.475_0.437_0.484_c862.mtx,104.874,0.061827,137.502,0.0675978,137.446
k21_0.899_0.476_0.437_0.484_c862.mtx,108.605,0.086941,169.995,0.1374,169.904
k21_0.899_0.477_0.437_0.484_c862.mtx,105.416,0.063275,144.217,0.191282,144.098
k21_0.899_0.478_0.437_0.484_c862.mtx,105.455,0.063363,145.408,0.0628114,145.389
k21_0.899_0.479_0.437_0.484_c862.mtx,105.628,0.078614,146.223,0.0547244,146.195
k21_0.899_0.480_0.437_0.484_c862.mtx,106.723,0.069164,148.958,0.313486,148.843
k21_0.899_0.481_0.437_0.484_c862.mtx,106.28,0.062281,148.564,0.272225,148.375
k21_0.899_0.482_0.437_0.484_c862.mtx,108.131,0.074934,176.154,0.381652,175.973
k21_0.899_0.483_0.437_0.484_c862.mtx,106.653,0.064721,152.204,0.0485389,152.178
k21_0.899_0.484_0.437_0.484_c862.mtx,106.414,0.071189,152.525,0.0760415,152.475
k21_0.899_0.485_0.437_0.484_c862.mtx,106.542,0.061981,152.919,0.109568,152.87
k21_0.899_0.486_0.437_0.484_c862.mtx,106.886,0.062498,155.589,0.0730351,155.567
k21_0.899_0.487_0.437_0.484_c862.mtx,106.723,0.070492,158.036,0.860478,157.65
k21_0.899_0.488_0.437_0.484_c862.mtx,107.036,0.089219,189.436,0.378676,189.224
k21_0.899_0.489_0.437_0.484_c862.mtx,107.266,0.065287,161.185,0.055695,161.166
k21_0.899_0.490_0.437_0.484_c862.mtx,108.527,0.073847,162.019,0.0458747,162.006
k21_0.899_0.491_0.437_0.484_c862.mtx,108.782,0.078765,162.329,0.0473123,162.319
k21_0.899_0.492_0.437_0.484_c862.mtx,107.818,0.06464,165.35,0.0569481,165.321
k21_0.899_0.493_0.437_0.484_c862.mtx,111.931,0.084374,198.127,0.103924,198.083
k21_0.899_0.494_0.437_0.484_c862.mtx,109.46,0.072629,166.291,0.0748045,166.246
k21_0.899_0.495_0.437_0.484_c862.mtx,108.291,0.073946,169.956,0.132768,169.892
