filename,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k16_0.899_0.537_0.526_0.484_c862.mtx,65.2155,0.107131,1.65136,0.0777254,1.61533
k16_0.899_0.537_0.527_0.484_c862.mtx,65.8914,0.081564,1.69064,0.118754,1.60753
k17_0.899_0.537_0.437_0.484_c862.mtx,64.4097,0.082725,2.57197,0.068709,2.53848
k17_0.899_0.537_0.441_0.484_c862.mtx,66.0538,0.064661,2.66413,0.083914,2.61693
k18_0.899_0.524_0.437_0.484_c862.mtx,65.2822,0.065824,6.16306,0.0614075,6.12807
k18_0.899_0.537_0.488_0.484_c862.mtx,65.9579,0.094347,9.17175,0.137104,9.10365
k19_0.899_0.537_0.528_0.484_c862.mtx,72.2135,0.099397,31.4567,0.2095,31.3671
k19_0.899_0.537_0.537_0.525_c862.mtx,73.441,0.078648,46.2771,0.10105,46.2535
k21_0.899_0.460_0.437_0.484_c862.mtx,75.6772,0.084819,57.5815,0.25798,57.4982
k21_0.899_0.481_0.437_0.484_c862.mtx,82.3296,0.178826,62.7273,0.39161,62.5284
