filename,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k16_0.899_0.537_0.526_0.484_c862.mtx,72.9627,0.068168,2.55341,0.0637841,2.51261
k16_0.899_0.537_0.527_0.484_c862.mtx,71.4542,0.060905,2.50355,0.039693,2.47576
k17_0.899_0.537_0.437_0.484_c862.mtx,71.8146,0.066785,3.76908,0.0634558,3.73225
k17_0.899_0.537_0.441_0.484_c862.mtx,71.5716,0.089338,3.79503,0.037943,3.7731
k18_0.899_0.524_0.437_0.484_c862.mtx,71.3264,0.071094,8.35286,0.0582383,8.31313
k18_0.899_0.537_0.488_0.484_c862.mtx,72.9238,0.093836,12.995,0.148472,12.9241
k19_0.899_0.537_0.528_0.484_c862.mtx,80.3592,0.082234,42.2956,0.212536,42.1705
k19_0.899_0.537_0.537_0.525_c862.mtx,84.7923,0.077897,61.4063,0.0568438,61.3967
k21_0.899_0.460_0.437_0.484_c862.mtx,83.8279,0.10616,66.3888,0.172639,66.2751
k21_0.899_0.481_0.437_0.484_c862.mtx,84.8921,0.119855,88.0916,0.363924,87.8472
