filename,rows,cols,block_median,noblock_median,tensor_median
k18_0.899_0.456_0.437_0.484_c862.mtx,1024,128,,5.69217,13.1396
k18_0.899_0.456_0.437_0.484_c862.mtx,1024,16,,5.69217,13.0603
k18_0.899_0.456_0.437_0.484_c862.mtx,1024,2,,5.69217,11.3438
k18_0.899_0.456_0.437_0.484_c862.mtx,1024,256,,5.69217,13.3057
k18_0.899_0.456_0.437_0.484_c862.mtx,1024,32,,5.69217,13.0515
k18_0.899_0.456_0.437_0.484_c862.mtx,1024,4,,5.69217,12.2604
k18_0.899_0.456_0.437_0.484_c862.mtx,1024,512,,5.69217,13.4449
k18_0.899_0.456_0.437_0.484_c862.mtx,1024,64,,5.69217,12.7572
k18_0.899_0.456_0.437_0.484_c862.mtx,1024,8,,5.69217,12.8231
k18_0.899_0.456_0.437_0.484_c862.mtx,128,128,,5.69217,13.4554
k18_0.899_0.456_0.437_0.484_c862.mtx,128,16,,5.69217,13.3434
k18_0.899_0.456_0.437_0.484_c862.mtx,128,2,,5.69217,11.5772
k18_0.899_0.456_0.437_0.484_c862.mtx,128,256,,5.69217,13.5651
k18_0.899_0.456_0.437_0.484_c862.mtx,128,32,,5.69217,12.9141
k18_0.899_0.456_0.437_0.484_c862.mtx,128,4,,5.69217,13.8478
k18_0.899_0.456_0.437_0.484_c862.mtx,128,512,,5.69217,13.7769
k18_0.899_0.456_0.437_0.484_c862.mtx,128,64,,5.69217,13.2688
k18_0.899_0.456_0.437_0.484_c862.mtx,128,8,,5.69217,13.1082
k18_0.899_0.456_0.437_0.484_c862.mtx,131072,128,,5.69217,0.028629
k18_0.899_0.456_0.437_0.484_c862.mtx,131072,16,,5.69217,0.0282255
k18_0.899_0.456_0.437_0.484_c862.mtx,131072,2,,5.69217,0.0278695
k18_0.899_0.456_0.437_0.484_c862.mtx,131072,256,,5.69217,0.0286985
k18_0.899_0.456_0.437_0.484_c862.mtx,131072,262144,,5.69217,0.0298525
k18_0.899_0.456_0.437_0.484_c862.mtx,131072,32,,5.69217,0.0283495
k18_0.899_0.456_0.437_0.484_c862.mtx,131072,4,,5.69217,0.028082
k18_0.899_0.456_0.437_0.484_c862.mtx,131072,512,,5.69217,0.0286125
k18_0.899_0.456_0.437_0.484_c862.mtx,131072,64,,5.69217,0.0283925
k18_0.899_0.456_0.437_0.484_c862.mtx,131072,8,,5.69217,0.0281215
k18_0.899_0.456_0.437_0.484_c862.mtx,16384,128,,5.69217,10.6958
k18_0.899_0.456_0.437_0.484_c862.mtx,16384,16,,5.69217,11.1955
k18_0.899_0.456_0.437_0.484_c862.mtx,16384,2,,5.69217,9.41594
k18_0.899_0.456_0.437_0.484_c862.mtx,16384,256,,5.69217,10.7765
k18_0.899_0.456_0.437_0.484_c862.mtx,16384,32,,5.69217,10.6208
k18_0.899_0.456_0.437_0.484_c862.mtx,16384,4,,5.69217,10.1033
k18_0.899_0.456_0.437_0.484_c862.mtx,16384,512,,5.69217,11.038
k18_0.899_0.456_0.437_0.484_c862.mtx,16384,64,,5.69217,10.4677
k18_0.899_0.456_0.437_0.484_c862.mtx,16384,8,,5.69217,10.521
k18_0.899_0.456_0.437_0.484_c862.mtx,16,128,,5.69217,13.5444
k18_0.899_0.456_0.437_0.484_c862.mtx,16,16,,5.69217,13.6075
k18_0.899_0.456_0.437_0.484_c862.mtx,16,2,,5.69217,11.7693
k18_0.899_0.456_0.437_0.484_c862.mtx,16,256,,5.69217,13.6048
k18_0.899_0.456_0.437_0.484_c862.mtx,16,32,,5.69217,13.4552
k18_0.899_0.456_0.437_0.484_c862.mtx,16,4,,5.69217,12.7856
k18_0.899_0.456_0.437_0.484_c862.mtx,16,512,,5.69217,13.8466
k18_0.899_0.456_0.437_0.484_c862.mtx,16,64,,5.69217,13.4695
k18_0.899_0.456_0.437_0.484_c862.mtx,16,8,,5.69217,13.3575
k18_0.899_0.456_0.437_0.484_c862.mtx,2048,128,,5.69217,12.9393
k18_0.899_0.456_0.437_0.484_c862.mtx,2048,16,,5.69217,12.9139
k18_0.899_0.456_0.437_0.484_c862.mtx,2048,2,,5.69217,11.1719
k18_0.899_0.456_0.437_0.484_c862.mtx,2048,256,,5.69217,13.0683
k18_0.899_0.456_0.437_0.484_c862.mtx,2048,32,,5.69217,12.8959
k18_0.899_0.456_0.437_0.484_c862.mtx,2048,4,,5.69217,11.9724
k18_0.899_0.456_0.437_0.484_c862.mtx,2048,512,,5.69217,13.2903
k18_0.899_0.456_0.437_0.484_c862.mtx,2048,64,,5.69217,12.4477
k18_0.899_0.456_0.437_0.484_c862.mtx,2048,8,,5.69217,12.5975
k18_0.899_0.456_0.437_0.484_c862.mtx,256,128,,5.69217,13.3843
k18_0.899_0.456_0.437_0.484_c862.mtx,256,16,,5.69217,13.3566
k18_0.899_0.456_0.437_0.484_c862.mtx,256,2,,5.69217,11.5048
k18_0.899_0.456_0.437_0.484_c862.mtx,256,256,,5.69217,13.5293
k18_0.899_0.456_0.437_0.484_c862.mtx,256,32,,5.69217,13.3133
k18_0.899_0.456_0.437_0.484_c862.mtx,256,4,,5.69217,12.3041
k18_0.899_0.456_0.437_0.484_c862.mtx,256,512,,5.69217,13.7181
k18_0.899_0.456_0.437_0.484_c862.mtx,256,64,,5.69217,13.3213
k18_0.899_0.456_0.437_0.484_c862.mtx,256,8,,5.69217,13.0416
k18_0.899_0.456_0.437_0.484_c862.mtx,262144,128,,5.69217,0.006864
k18_0.899_0.456_0.437_0.484_c862.mtx,262144,16,,5.69217,0.006841
k18_0.899_0.456_0.437_0.484_c862.mtx,262144,2,,5.69217,0.00689
k18_0.899_0.456_0.437_0.484_c862.mtx,262144,256,,5.69217,0.0070095
k18_0.899_0.456_0.437_0.484_c862.mtx,262144,262144,,5.69217,0.0068985
k18_0.899_0.456_0.437_0.484_c862.mtx,262144,32,,5.69217,0.0069015
k18_0.899_0.456_0.437_0.484_c862.mtx,262144,4,,5.69217,0.0067865
k18_0.899_0.456_0.437_0.484_c862.mtx,262144,512,,5.69217,0.0069105
k18_0.899_0.456_0.437_0.484_c862.mtx,262144,64,,5.69217,0.006902
k18_0.899_0.456_0.437_0.484_c862.mtx,262144,8,,5.69217,0.0069865
k18_0.899_0.456_0.437_0.484_c862.mtx,2,128,,5.69217,15.6631
k18_0.899_0.456_0.437_0.484_c862.mtx,2,16,,5.69217,13.8681
k18_0.899_0.456_0.437_0.484_c862.mtx,2,2,,5.69217,12.2551
k18_0.899_0.456_0.437_0.484_c862.mtx,2,256,,5.69217,14.1319
k18_0.899_0.456_0.437_0.484_c862.mtx,2,32,,5.69217,13.9062
k18_0.899_0.456_0.437_0.484_c862.mtx,2,4,,5.69217,13.1753
k18_0.899_0.456_0.437_0.484_c862.mtx,2,512,,5.69217,14.3576
k18_0.899_0.456_0.437_0.484_c862.mtx,2,64,,5.69217,13.8533
k18_0.899_0.456_0.437_0.484_c862.mtx,2,8,,5.69217,13.7257
k18_0.899_0.456_0.437_0.484_c862.mtx,32768,128,,5.69217,8.73483
k18_0.899_0.456_0.437_0.484_c862.mtx,32768,16,,5.69217,8.75898
k18_0.899_0.456_0.437_0.484_c862.mtx,32768,2,,5.69217,7.91873
k18_0.899_0.456_0.437_0.484_c862.mtx,32768,256,,5.69217,8.78858
k18_0.899_0.456_0.437_0.484_c862.mtx,32768,32,,5.69217,8.6287
k18_0.899_0.456_0.437_0.484_c862.mtx,32768,4,,5.69217,8.27184
k18_0.899_0.456_0.437_0.484_c862.mtx,32768,512,,5.69217,8.965
k18_0.899_0.456_0.437_0.484_c862.mtx,32768,64,,5.69217,8.6441
k18_0.899_0.456_0.437_0.484_c862.mtx,32768,8,,5.69217,8.87562
k18_0.899_0.456_0.437_0.484_c862.mtx,32,128,,5.69217,13.5751
