filename,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k16_0.899_0.537_0.537_0.548_c862-r1024_c1024.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r1024_c128.tns,121.679,0.064089,9.40887,0.0595603,9.37247
k16_0.899_0.537_0.537_0.548_c862-r1024_c16.tns,117.915,0.067466,7.70959,0.0746703,7.66213
k16_0.899_0.537_0.537_0.548_c862-r1024_c16384.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r1024_c2.tns,117.741,0.06486,6.97395,0.069701,6.92645
k16_0.899_0.537_0.537_0.548_c862-r1024_c2048.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r1024_c256.tns,117.849,0.061608,10.5612,0.0659347,10.5234
k16_0.899_0.537_0.537_0.548_c862-r1024_c32.tns,118.048,0.065432,8.33761,0.0629781,8.30237
k16_0.899_0.537_0.537_0.548_c862-r1024_c32768.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r1024_c4.tns,118.796,0.069724,7.07848,0.0850564,7.0221
k16_0.899_0.537_0.537_0.548_c862-r1024_c4096.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r1024_c512.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r1024_c64.tns,118.913,0.070804,8.71821,0.0589647,8.67677
k16_0.899_0.537_0.537_0.548_c862-r1024_c65536.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r1024_c8.tns,117.324,0.062927,7.56771,0.069755,7.52403
k16_0.899_0.537_0.537_0.548_c862-r1024_c8192.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r128_c1024.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r128_c128.tns,118.054,0.064256,9.81294,0.0561417,9.77984
k16_0.899_0.537_0.537_0.548_c862-r128_c16.tns,118.364,0.066957,7.87948,0.0732221,7.83082
k16_0.899_0.537_0.537_0.548_c862-r128_c16384.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r128_c2.tns,117.683,0.063886,7.24485,0.0785332,7.19215
k16_0.899_0.537_0.537_0.548_c862-r128_c2048.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r128_c256.tns,117.766,0.065962,10.9989,0.0605274,10.9627
k16_0.899_0.537_0.537_0.548_c862-r128_c32.tns,118.512,0.064108,8.64553,0.067449,8.60293
k16_0.899_0.537_0.537_0.548_c862-r128_c32768.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r128_c4.tns,117.417,0.062423,7.36011,0.077113,7.31117
k16_0.899_0.537_0.537_0.548_c862-r128_c4096.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r128_c512.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r128_c64.tns,117.745,0.059345,9.04263,0.0503111,9.01214
k16_0.899_0.537_0.537_0.548_c862-r128_c65536.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r128_c8.tns,118.186,0.065932,7.83437,0.0667227,7.79463
k16_0.899_0.537_0.537_0.548_c862-r128_c8192.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r16384_c1024.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r16384_c128.tns,117.943,0.069289,4.52014,0.043243,4.49573
k16_0.899_0.537_0.537_0.548_c862-r16384_c16.tns,117.779,0.066852,3.84395,0.049231,3.81501
k16_0.899_0.537_0.537_0.548_c862-r16384_c16384.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r16384_c2.tns,116.904,0.066488,3.54435,0.0535228,3.51662
k16_0.899_0.537_0.537_0.548_c862-r16384_c2048.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r16384_c256.tns,119.275,0.066107,5.1413,0.0553608,5.10688
k16_0.899_0.537_0.537_0.548_c862-r16384_c32.tns,117.803,0.068479,3.96629,0.0473196,3.93912
